station_ligne,origin,destination
M9,Pont de Sevres,Billancourt
M9,Billancourt,Pont de Sevres
M9,Billancourt,Marcel Sembat
M9,Marcel Sembat,Billancourt
M9,Marcel Sembat,Porte de Saint Cloud
M9,Porte de Saint Cloud,Marcel Sembat
M9,Porte de Saint Cloud,Exelmans
M9,Exelmans,Porte de Saint Cloud
M9,Exelmans,Michel Ange Molitor
M9,Michel Ange Molitor,Exelmans
M9,Michel Ange Molitor,Michel Ange Auteuil
M9,Michel Ange Auteuil,Michel Ange Molitor
M9,Michel Ange Auteuil,Jasmin
M9,Jasmin,Michel Ange Auteuil
M9,Jasmin,Ranelagh
M9,Ranelagh,Jasmin
M9,Ranelagh,La Muette
M9,La Muette,Ranelagh
M9,La Muette,Rue de la Pompe
M9,Rue de la Pompe,La Muette
M9,Rue de la Pompe,Trocadero
M9,Trocadero,Rue de la Pompe
M9,Trocadero,Iena
M9,Iena,Trocadero
M9,Iena,Alma Marceau
M9,Alma Marceau,Iena
M9,Alma Marceau,Franklin D.Roosevelt
M9,Franklin D.Roosevelt,Alma Marceau
M9,Franklin D.Roosevelt,Saint Philippe du Roule
M9,Saint Philippe du Roule,Franklin D.Roosevelt
M9,Saint Philippe du Roule,Miromesnil
M9,Miromesnil,Saint Philippe du Roule
M9,Miromesnil,Saint Augustin
M9,Saint Augustin,Miromesnil
M9,Saint Augustin,Havre Caumartin
M9,Havre Caumartin,Saint Augustin
M9,Havre Caumartin,Chaussee d'Antin
M9,Chaussee d'Antin,Havre Caumartin
M9,Chaussee d'Antin,Richelieu Drouot
M9,Richelieu Drouot,Chaussee d'Antin
M9,Richelieu Drouot,Grands Boulevards
M9,Grands Boulevards,Richelieu Drouot
M9,Grands Boulevards,Bonne Nouvelle
M9,Bonne Nouvelle,Grands Boulevards
M9,Bonne Nouvelle,Strasbourg Saint Denis
M9,Strasbourg Saint Denis,Bonne Nouvelle
M9,Strasbourg Saint Denis,Republique
M9,Republique,Strasbourg Saint Denis
M9,Republique,Oberkampf
M9,Oberkampf,Republique
M9,Oberkampf,Saint Ambroise
M9,Saint Ambroise,Oberkampf
M9,Saint Ambroise,Voltaire
M9,Voltaire,Saint Ambroise
M9,Voltaire,Charonne
M9,Charonne,Voltaire
M9,Charonne,Rue des Boulets
M9,Rue des Boulets,Charonne
M9,Rue des Boulets,Nation
M9,Nation,Rue des Boulets
M9,Nation,Buzenval
M9,Buzenval,Nation
M9,Buzenval,Maraichers
M9,Maraichers,Buzenval
M9,Maraichers,Porte de Montreuil
M9,Porte de Montreuil,Maraichers
M9,Porte de Montreuil,Robespierre
M9,Robespierre,Porte de Montreuil
M9,Robespierre,Croix de Chavaux
M9,Croix de Chavaux,Robespierre
M9,Croix de Chavaux,Mairie de Montreuil
M9,Mairie de Montreuil,Croix de Chavaux
